,1/12/19,1/11/19,1/10/19,1/9/19,1/8/19,1/7/19,1/6/19,1/5/19,1/4/19,1/3/19,1/2/19,1/1/19,1/12/18,1/11/18,1/10/18,1/9/18,1/8/18,1/7/18,1/6/18,1/5/18,1/4/18,1/3/18,1/2/18,1/1/18,1/12/17,1/11/17,1/10/17,1/9/17,1/8/17,1/7/17,1/6/17,1/5/17,1/4/17,1/3/17,1/2/17,1/1/17,1/12/16,1/11/16,1/10/16,1/9/16,1/8/16,1/7/16,1/6/16,1/5/16,1/4/16,1/3/16,1/2/16,1/1/16,1/12/15,1/11/15,1/10/15,1/9/15,1/8/15,1/7/15,1/6/15,1/5/15,1/4/15,1/3/15,1/2/15,1/1/15
1.  Number of foreign tourists visiting Thailand (in thousands) ,3930.8,3358.59,3042.28,2902.73,3466.46,3327.2,3052.29,2726.81,3195.01,3473.09,3603.65,3718.5,3835.51,3171,2704,2636.12,3229.03,3177.09,3013.3,2737.83,3096.07,3494.64,3552.12,3531.48,3571.66,3039.57,2725.94,2600.28,3188.15,3099.41,2731.07,2600.62,2853.29,3018.41,2966.52,3197.05,3060.74,2452.45,2252.77,2416.82,2883.59,2949.1,2422.99,2459.09,2627.8,2927.22,3080.53,2996.44,3024.29,2566.07,2245.84,2044.65,2589.65,2641.51,2269.52,2301.62,2406.72,2555.36,2664.21,2613.69
2.  Accommodation occupancy rate (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Central (including Bangkok),31.66,29.07,35.05,32.2,29.58,29.86,30.7,31.86,32.36,34.06,32.45,34.77,30.48,29.25,35.93,35.67,29.54,28.43,30.19,31.37,31.02,32.7,29.32,31.17,28.72,27.67,27.01,34.42,28.56,27.85,26.79,28.74,31.08,30.1,26.42,29.52,25.9,23.71,23.68,25,24,23.3,22.6,25.2,25,28.1,27.1,32.1,28.54,28.16,27.33,32.4,31.51,28.04,28.16,28.99,32.72,30.6,28.29,28.14
   South,28.27,28.33,32.37,27.37,27.2,33.8,30.38,29.88,31.04,31.26,29.83,27.16,32.39,30.28,35.39,29.14,29.54,35.49,35.22,29.37,31.49,30.39,28.72,25.15,28.73,28.88,29.54,29.89,25.44,34.56,35.78,25.31,28.71,30.88,27.89,22.74,23.36,23.19,21.76,23.8,23.5,23.7,29.9,29,22.4,26,26,28,37.11,38.07,20.99,14.17,23.7,23.35,19.75,21.85,16.14,26.98,36.87,22.7
   North,29.21,32.34,31.88,26.05,27.4,28.63,29.63,29.88,23.78,20.2,29.93,29.36,33.49,31.48,33.11,32.34,29.54,27.65,31.26,28.06,33.95,28.68,28.44,27.28,30.09,30.05,26.85,31.61,30.59,29.6,26.36,25.6,32.2,26.53,26.98,24.85,26.78,24.44,22.32,29.6,28.6,29.8,24.4,24.1,32.4,25.8,25.3,24.8,15.95,20.56,24.25,22.14,24.34,25.66,25.28,24.9,24.32,28.45,17.94,24.44
   Northeast,30.71,29.34,30.31,28.64,27.2,26.81,27.73,27.84,25.97,24.52,26.61,29.46,31.62,30.95,33.7,29.84,29.54,25.81,27.36,26.26,25.37,23.35,24.54,27.06,28.56,29.73,26.92,27.52,26.55,25.96,23.45,21.93,23.75,22.3,22.86,24.37,23.57,23.26,22.98,25.7,24.6,26.4,24.4,25.5,21.6,22.8,22.3,24,24,22.67,22.72,25.05,25.94,20.41,20.27,23.06,20.47,21.71,25.44,24.56
6.  Share of foreign tourists to total guests (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total,32.5,32.42,31.95,31.61,31.09,30.78,31.03,30.91,30.99,30.64,31,30.45,30.44,30.38,30.7,30.45,31.24,31.72,32.66,33.2,32.86,32.69,32.15,31.92,33.06,30.11,30.72,35.25,37.56,38.1,35.8,34.83,35.94,38.06,37.74,38.76,30.01,28.13,28.66,35.93,38.2,38.73,36.17,35.76,37.22,39.13,38.38,39.02,34.86,34.63,34.25,36.72,38.34,40.01,36.52,35.63,36.66,39.2,39.2,39.9
   Central (including Bangkok),47.9,47.88,47.55,47.9,47.16,46.5,46.8,46.5,46.9,46.04,46.8,45.8,45.4,45.31,45.7,45.5,46.03,46.98,49.59,49.89,49.38,49.16,48.77,48.44,36.72,32.53,33.34,39.36,45.27,44.99,40.23,39.36,42.11,44.23,46.01,45.97,37.35,32.52,34.13,39.92,46.33,46.05,41.08,40.34,43.97,46.43,47.53,45.65,39.15,38.96,38.61,41.13,46.73,47.22,41.07,39.89,43.27,46.94,48.25,46.94
   South,57.7,57.64,57.35,56.98,55.8,55.6,56.26,56.05,56.1,55.9,55.37,54.5,54.68,54.99,55.5,55.15,56.02,56.37,58.38,58.98,58.7,58.59,58.4,58.4,54.58,52.12,51.48,53.75,49.72,53.14,53.44,52.03,49.9,54.85,51.02,58.04,54.22,51.9,51.91,54.63,49.79,54.14,53.74,52.7,50.34,54.23,50.71,58.46,54.32,53.73,52.55,54.72,49.71,54.89,53.92,52.72,50.5,53.79,51.21,59.1
   North,21.1,21.05,19.9,19.37,18.9,18.7,18.9,18.8,18.6,18.4,19.04,18.6,18.7,18.35,18.9,18.75,19.15,19.38,18.34,18.98,18.68,18.49,17.35,17.05,14.77,16.1,15.25,20.02,20.24,21.39,18.65,17.41,17.11,18.45,17.87,16.61,15.25,16.29,15.12,20.23,21.05,21.04,17.36,18.36,18.06,19.33,17.2,17.33,15.21,17.4,16.2,20.68,20.74,22.73,18.19,18.6,17.58,18.76,18.91,17.41
   Northeast,3.2,3.11,2.99,2.2,2.5,2.3,2.15,2.3,2.4,2.2,2.8,2.9,3,2.88,2.8,2.4,3.79,4.15,4.34,4.8,4.68,4.48,4.11,3.79,2.06,1.86,1.75,2.29,2.39,2.39,2.22,2.24,2.51,2.56,2.72,2.59,2.09,1.85,1.73,2.33,2.44,2.4,2.21,2.22,2.63,2.16,2.31,2.49,2.08,1.91,1.87,2.44,2.59,2.54,2.19,2.31,2.8,2.27,2.37,2.61
