จำนวนนักท่องเที่ยวระหว่างประเทศของไทย ปี 2561P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,Number 2019P,,,,,,,,,,,,,Number 2018,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,
Finland," 24,640 "," 22,211 "," 15,866 "," 4,577 "," 3,082 "," 4,098 "," 2,998 "," 2,392 "," 3,273 "," 6,237 "," 13,424 "," 25,214 "," 128,012 ","28,832","24,259","19,144","6,984","3,580","4,714","3,264","2,260","3,333","6,187","13,577","24,827","140,961",- 14.54,- 8.44,- 17.12,- 34.46,- 13.91,- 13.07,- 8.15,+ 5.84,- 1.80,+ 0.81,- 1.13,+ 1.56,- 9.19,
France," 87,508 "," 115,241 "," 80,556 "," 64,322 "," 35,207 "," 30,584 "," 57,449 "," 60,138 "," 29,570 "," 51,434 "," 62,159 "," 71,122 "," 745,290 ","89,688","108,110","78,373","66,529","38,347","29,785","59,197","61,083","29,162","52,067","65,151","72,064","749,556",- 2.43,+ 6.60,+ 2.79,- 3.32,- 8.19,+ 2.68,- 2.95,- 1.55,+ 1.40,- 1.22,- 4.59,- 1.31,- 0.57,
Germany," 97,002 "," 101,915 "," 103,476 "," 74,980 "," 36,741 "," 37,741 "," 52,191 "," 52,259 "," 45,611 "," 64,710 "," 91,612 "," 99,249 "," 857,487 ","97,969","103,746","115,581","66,352","45,615","34,600","53,161","56,715","51,271","66,826","94,052","100,635","886,523",- 0.99,- 1.76,- 10.47,+ 13.00,- 19.45,+ 9.08,- 1.82,- 7.86,- 11.04,- 3.17,- 2.59,- 1.38,- 3.28,
Italy," 36,324 "," 29,391 "," 22,309 "," 17,782 "," 9,623 "," 11,036 "," 17,275 "," 40,785 "," 12,486 "," 14,238 "," 23,704 "," 37,336 "," 272,289 ","37,867","29,017","22,144","15,160","9,906","11,749","18,330","43,941","13,902","15,120","25,173","37,596","279,905",- 4.07,+ 1.29,+ 0.75,+ 17.30,- 2.86,- 6.07,- 5.76,- 7.18,- 10.19,- 5.83,- 5.84,- 0.69,- 2.72,
Netherlands," 23,549 "," 19,330 "," 17,746 "," 17,366 "," 12,782 "," 11,948 "," 41,844 "," 23,203 "," 13,546 "," 16,361 "," 20,880 "," 23,108 "," 241,663 ","23,665","18,820","15,808","18,037","13,140","11,993","37,465","23,328","12,833","16,436","20,400","24,340","236,265",- 0.49,+ 2.71,+ 12.26,- 3.72,- 2.72,- 0.38,+ 11.69,- 0.54,+ 5.56,- 0.46,+ 2.35,- 5.06,+ 2.28,
Norway," 18,726 "," 16,837 "," 10,944 "," 8,032 "," 3,689 "," 9,407 "," 13,390 "," 4,259 "," 4,811 "," 7,323 "," 11,120 "," 19,493 "," 128,031 ","18,173","15,858","13,832","5,927","4,343","9,607","13,838","4,666","4,896","7,417","11,212","19,072","128,841",+ 3.04,+ 6.17,- 20.88,+ 35.52,- 15.06,- 2.08,- 3.24,- 8.72,- 1.74,- 1.27,- 0.82,+ 2.21,- 0.63,
Russia," 229,518 "," 191,559 "," 194,471 "," 108,308 "," 55,738 "," 45,962 "," 46,737 "," 46,325 "," 52,078 "," 106,693 "," 183,500 "," 222,564 "," 1,483,453 ","226,649","195,171","197,022","126,396","57,089","48,488","49,720","50,050","49,661","101,217","166,245","205,081","1,472,789",+ 1.27,- 1.85,- 1.29,- 14.31,- 2.37,- 5.21,- 6.00,- 7.44,+ 4.87,+ 5.41,+ 10.38,+ 8.52,+ 0.72,
Spain," 11,268 "," 10,919 "," 11,376 "," 11,728 "," 7,808 "," 11,349 "," 23,178 "," 37,201 "," 15,958 "," 15,242 "," 18,611 "," 14,363 "," 189,001 ","10,732","10,164","12,991","8,680","8,016","11,024","22,543","34,944","15,973","16,248","16,982","13,583","181,880",+ 4.99,+ 7.43,- 12.43,+ 35.12,- 2.59,+ 2.95,+ 2.82,+ 6.46,- 0.09,- 6.19,+ 9.59,+ 5.74,+ 3.92,
Sweden," 53,190 "," 48,404 "," 30,904 "," 12,608 "," 6,169 "," 10,787 "," 11,049 "," 6,121 "," 6,747 "," 15,347 "," 22,488 "," 63,569 "," 287,383 ","59,543","50,608","40,178","12,546","6,578","11,899","11,707","6,478","7,143","15,767","26,326","63,176","311,949",- 10.67,- 4.36,- 23.08,+ 0.49,- 6.22,- 9.35,- 5.62,- 5.51,- 5.54,- 2.66,- 14.58,+ 0.62,- 7.88,
Switzerland," 22,484 "," 22,275 "," 17,102 "," 19,825 "," 8,459 "," 7,922 "," 15,682 "," 8,235 "," 9,555 "," 14,146 "," 19,684 "," 26,787 "," 192,156 ","24,847","24,241","20,660","18,967","9,332","8,005","18,896","9,192","9,754","15,022","20,538","28,017","207,471",- 9.51,- 8.11,- 17.22,+ 4.52,- 9.35,- 1.04,- 17.01,- 10.41,- 2.04,- 5.83,- 4.16,- 4.39,- 7.38,
United  Kingdom," 97,241 "," 92,111 "," 91,686 "," 97,362 "," 61,653 "," 64,701 "," 79,872 "," 77,167 "," 57,806 "," 75,728 "," 89,548 "," 109,143 "," 994,018 ","93,464","88,843","101,460","86,529","61,732","65,075","79,779","77,921","58,836","74,084","89,163","109,968","986,854",+ 4.04,+ 3.68,- 9.63,+ 12.52,- 0.13,- 0.57,+ 0.12,- 0.97,- 1.75,+ 2.22,+ 0.43,- 0.75,+ 0.73,
East  Europe," 100,797 "," 83,312 "," 64,346 "," 30,045 "," 16,956 "," 17,438 "," 21,101 "," 19,103 "," 19,499 "," 34,743 "," 67,155 "," 84,775 "," 559,270 ","96,993","78,231","60,166","31,148","17,082","16,313","20,586","18,438","17,831","31,232","61,421","73,349","522,790",+ 3.92,+ 6.49,+ 6.95,- 3.54,- 0.74,+ 6.90,+ 2.50,+ 3.61,+ 9.35,+ 11.24,+ 9.34,+ 15.58,+ 6.98,
Others," 27,680 "," 23,398 "," 20,482 "," 20,986 "," 12,704 "," 17,090 "," 20,728 "," 20,687 "," 14,838 "," 18,041 "," 25,844 "," 29,857 "," 252,335 ","31,663","24,516","25,122","18,937","13,376","15,758","20,845","22,282","14,269","16,770","23,132","27,578","254,248",- 12.58,- 4.56,- 18.47,+ 10.82,- 5.02,+ 8.45,- 0.56,- 7.16,+ 3.99,+ 7.58,+ 11.72,+ 8.26,- 0.75,
The  Americas," 172,002 "," 144,128 "," 156,457 "," 135,253 "," 115,548 "," 121,900 "," 121,334 "," 99,131 "," 93,363 "," 121,158 "," 170,361 "," 183,356 "," 1,633,991 ","167,713","141,773","159,149","128,973","115,719","116,824","116,897","96,661","90,456","117,085","165,616","182,357","1,599,223",+ 2.56,+ 1.66,- 1.69,+ 4.87,- 0.15,+ 4.34,+ 3.80,+ 2.56,+ 3.21,+ 3.48,+ 2.87,+ 0.55,+ 2.17,
Argentina," 5,022 "," 3,526 "," 3,197 "," 2,536 "," 1,912 "," 1,264 "," 1,298 "," 1,367 "," 1,366 "," 1,923 "," 2,852 "," 3,270 "," 29,533 ","8,885","7,540","7,486","4,640","2,928","1,468","1,333","1,267","1,264","2,088","2,457","2,668","44,024",- 43.48,- 53.24,- 57.29,- 45.34,- 34.70,- 13.90,- 2.63,+ 7.89,+ 8.07,- 7.90,+ 16.08,+ 22.56,- 32.92,
Brazil," 8,071 "," 6,669 "," 7,256 "," 5,642 "," 4,069 "," 3,191 "," 2,994 "," 3,359 "," 3,311 "," 5,045 "," 9,438 "," 10,758 "," 69,803 ","9,110","6,989","6,480","5,541","3,670","2,634","2,884","3,290","3,063","4,222","7,998","10,119","66,000",- 11.41,- 4.58,+ 11.98,+ 1.82,+ 10.87,+ 21.15,+ 3.81,+ 2.10,+ 8.10,+ 19.49,+ 18.00,+ 6.31,+ 5.76,
Canada," 33,628 "," 30,020 "," 28,904 "," 23,182 "," 19,890 "," 15,521 "," 17,276 "," 15,295 "," 13,713 "," 19,655 "," 27,483 "," 29,593 "," 274,160 ","32,202","28,959","29,447","22,809","21,087","16,395","17,450","15,475","13,981","19,660","27,312","31,317","276,094",+ 4.43,+ 3.66,- 1.84,+ 1.64,- 5.68,- 5.33,- 1.00,- 1.16,- 1.92,- 0.03,+ 0.63,- 5.50,- 0.70,
USA," 116,908 "," 96,064 "," 109,604 "," 94,254 "," 82,815 "," 95,581 "," 92,634 "," 73,574 "," 67,430 "," 86,527 "," 121,407 "," 131,047 "," 1,167,845 ","109,577","90,388","106,562","88,698","81,146","90,468","88,382","71,207","65,071","83,004","118,136","129,631","1,122,270",+ 6.69,+ 6.28,+ 2.85,+ 6.26,+ 2.06,+ 5.65,+ 4.81,+ 3.32,+ 3.63,+ 4.24,+ 2.77,+ 1.09,+ 4.06,
Others," 8,373 "," 7,849 "," 7,496 "," 9,639 "," 6,862 "," 6,343 "," 7,132 "," 5,536 "," 7,543 "," 8,008 "," 9,181 "," 8,688 "," 92,650 ","7,939","7,897","9,174","7,285","6,888","5,859","6,848","5,422","7,077","8,111","9,713","8,622","90,835",+ 5.47,- 0.61,- 18.29,+ 32.31,- 0.38,+ 8.26,+ 4.15,+ 2.10,+ 6.58,- 1.27,- 5.48,+ 0.77,+ 2.00,
South  Asia," 197,999 "," 151,442 "," 199,039 "," 197,553 "," 192,718 "," 227,442 "," 196,704 "," 209,711 "," 188,212 "," 197,009 "," 206,277 "," 233,281 "," 2,397,387 ","165,730","135,144","152,823","153,023","180,337","181,760","163,457","167,422","154,034","149,941","171,637","209,521","1,984,829",+ 19.47,+ 12.06,+ 30.24,+ 29.10,+ 6.87,+ 25.13,+ 20.34,+ 25.26,+ 22.19,+ 31.39,+ 20.18,+ 11.34,+ 20.79,
Bangladesh," 10,284 "," 9,984 "," 12,237 "," 10,419 "," 5,682 "," 14,076 "," 9,824 "," 14,214 "," 10,811 "," 12,557 "," 11,200 "," 15,387 "," 136,675 ","12,966","10,670","11,674","10,367","8,144","11,795","10,004","12,784","8,475","10,486","9,111","13,098","129,574",- 20.68,- 6.43,+ 4.82,+ 0.50,- 30.23,+ 19.34,- 1.80,+ 11.19,+ 27.56,+ 19.75,+ 22.93,+ 17.48,+ 5.48,
India," 163,794 "," 123,272 "," 163,158 "," 163,938 "," 173,033 "," 191,590 "," 164,159 "," 172,276 "," 155,998 "," 161,961 "," 173,337 "," 189,000 "," 1,995,516 ","131,048","107,448","121,157","121,284","156,075","150,587","130,765","130,094","122,933","117,448","141,388","168,119","1,598,346",+ 24.99,+ 14.73,+ 34.67,+ 35.17,+ 10.87,+ 27.23,+ 25.54,+ 32.42,+ 26.90,+ 37.90,+ 22.60,+ 12.42,+ 24.85,
Nepal," 5,549 "," 3,485 "," 4,758 "," 4,572 "," 3,951 "," 4,786 "," 5,712 "," 5,825 "," 5,055 "," 6,947 "," 4,459 "," 5,276 "," 60,375 ","5,117","3,253","3,612","3,349","3,325","3,894","3,853","6,673","6,070","7,045","4,406","4,449","55,046",+ 8.44,+ 7.13,+ 31.73,+ 36.52,+ 18.83,+ 22.91,+ 48.25,- 12.71,- 16.72,- 1.39,+ 1.20,+ 18.59,+ 9.68,
